Event	ID	Name			Wwise Object Path	Notes
	16589931	VOX_Arle_ramenezlecoeur			\Pendrillon\Dialogues\FullText\Arle\VOX_Arle_ramenezlecoeur	
	18265771	VOX_Judge_tiendrapluslongtempsremporte			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_tiendrapluslongtempsremporte	
	21518669	VOX_Naida_jaisipeur			\Pendrillon\Dialogues\FullText\Naida\VOX_Naida_jaisipeur	
	21577047	VOX_Arle_pssthemerci			\Pendrillon\Dialogues\FullText\Arle\VOX_Arle_pssthemerci	
	22341111	Play_VOX_Agathe_Emotion_happy			\Pendrillon\Dialogues\Emotions\Agathe\Play_VOX_Agathe_Emotion_happy	
	23709999	VOX_Judge_telsujetpaslegere			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_telsujetpaslegere	
	23769754	Play_AMB_SC_Theater_CrowdChatter			\Pendrillon\Ambiances\PlayAmbiances\Play_AMB_SC_Theater_CrowdChatter	
	35443424	Play_MUS_Story_SC_Barque_Intro			\Pendrillon\Music\SC_Barque\Play_MUS_Story_SC_Barque_Intro	
	36165032	VOX_Player_innattendus			\Pendrillon\Dialogues\FullText\Player\VOX_Player_innattendus	
	37105197	Play_SFX_Combat_NPC_RoyalGuard_Attack1			\Pendrillon\SFX\NPC\Bouffon\Play_SFX_Combat_NPC_RoyalGuard_Attack1	
	38135724	VOX_Judge_corruption			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_corruption	
	38148785	VOX_Player_lamemepenseeesprit			\Pendrillon\Dialogues\FullText\Player\VOX_Player_lamemepenseeesprit	
	52818499	VOX_Judge_jevoisjevois			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jevoisjevois	
	52972433	VOX_Judge_iciplusdenom			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_iciplusdenom	
	60298496	VOX_Agathe_irenefutdecouverte			\Pendrillon\Dialogues\FullText\Agathe\VOX_Agathe_irenefutdecouverte	
	60887761	Play_MUS_Story_SC_Church_Agathe			\Pendrillon\Music\Play_MUS_Story_SC_Church_Agathe	
	78802012	VOX_Arle_jaibienpeur			\Pendrillon\Dialogues\FullText\Arle\VOX_Arle_jaibienpeur	
	80938380	VOX_Judge_blaspheme			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_blaspheme	
	89774998	VOX_Capucine_eneffetfrappes			\Pendrillon\Dialogues\FullText\Capucine\VOX_Capucine_eneffetfrappes	
	90313845	VOX_Player_gardesirontchercher			\Pendrillon\Dialogues\FullText\Player\VOX_Player_gardesirontchercher	
	93606016	VOX_Player_rientrouve			\Pendrillon\Dialogues\FullText\Player\VOX_Player_rientrouve	
	95209776	VOX_Naida_remercieMerlin			\Pendrillon\Dialogues\FullText\Naida\VOX_Naida_remercieMerlin	
	110336394	VOX_Souffleur_moitoiacteur			\Pendrillon\Dialogues\FullText\Souffleur\VOX_Souffleur_moitoiacteur	
	112100220	VOX_Judge_jugelaisserajuresdecidersortpuisse			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jugelaisserajuresdecidersortpuisse	
	113028883	VOX_Player_pasmemelareine			\Pendrillon\Dialogues\FullText\Player\VOX_Player_pasmemelareine	
	116023693	VOX_Capucine_nulignorerloi			\Pendrillon\Dialogues\FullText\Capucine\VOX_Capucine_nulignorerloi	
	131227763	VOX_Player_Octave			\Pendrillon\Dialogues\FullText\Player\VOX_Player_Octave	
	134080830	Play_VOX_Souffleur_Emotion_talk			\Pendrillon\Dialogues\Emotions\Souffleur\Play_VOX_Souffleur_Emotion_talk	
	135500889	Play_MUS_Story_SC_Trial_Sireine			\Pendrillon\Music\SC_Trial\Play_MUS_Story_SC_Trial_Sireine	
	137330587	VOX_Judge_jejappellebarre			\Pendrillon\Dialogues\FullText\Judge\VOX_Judge_jejappellebarre	
	139643743	Stop_VOX_ALL			\Pendrillon\Dialogues\Stop_VOX_ALL	
